"Hey {{Name}}, This is to confirm today's call at {{Time}}. You can join  by clicking the link below: {{Call_Link}}, See you there! {{Sender_Name}} ",1
A reminder that you are scheduled to interview for the {{Company}} from {{time}} onwards. Resumes and schedules will be forwarded to you shortly. ,0
"That's amazing news! Can't wait to hear how that works out. I think the best way is to have the deck on the website would be either to have a section with a CTA on the homepage (or wherever you prefer) that links to the deck or we could transform the entire deck into an additional webpage itself to live on the site as its own thing. Let me know what you prefer, and we can start brainstorming design ideas ",1
I hope {{Name}} was able to translate your expectations into a reality. We can jump on another call to go through these and collect any feedback. I was also curious about a separate project you discussed which was more suitable for {{Name}}. Would you like to get started there?,1
Please let me know whether or not you will be there.,0
"Let me know by today, please.",0
"Hello {{Name}}, I found you on {{Platform}} and I would love to discuss with you why 65% B2B marketers love infographics and how we can incorporate high quality visuals in your branding strategy. ",1
"Hi Ryth,
 
Just a quick request.
 
We have a potential prospect from Australia that would like to speak to current and former clients about the work we’ve done. Do you mind if we share your contact info?
 
Thanks,
 
Sherry
—------------------------
You bet! Happy to put in a good word. Connect me!

—------------------------

Awesome, thanks!
",1
"Hello {{Name}}, I found you on {{Platform}} and I would love to discuss with you why 65% B2B marketers love infographics and how we can incorporate high quality visuals in your branding strategy. ",1
How do I go about getting my logon id and password? I seem to have deleted the e-mail that was sent out.,0
We have put together a quick proposal to get the current model further trained. I will share a copy of the new Exhibit for the Services Agreement with you today via DocuSign. I will share the invites for the demo once you confirm. We are pretty excited to learn your thoughts on it.,1
When are you going to respond to my email,0
Thank you for taking the time to join us on the call today. We are excited at the prospect of potentially partnering up with {{Company}}. Attached are the work samples and case studies I mentioned on the call. I will circle back to you towards the end of the {{Date}} week of {{month}} to get an update on your board's decision. Looking foward to a mutually beneficial collaboration in the near future. ,1
i'll give you a call after trading,0
"Sales Reps/Customer Service Team
 
I wanted to discuss our Customer service team which has worked with Dominos, Disney, Comcast. 

Our Customer Service Package starts at $6k/month and includes –
• 24 Hour support (3, 8-hour shifts)
• E-mail, phone, chat, and social issue handling and tracking
• Multilingual agents fluent in English
• Complementary Customer research audit identifying areas of improvement ($10k value).
 
 
{{Visiual representation of our services in a form of picture or Gif}}

Scenario 2: 

I wanted to discuss our Outsourced Customer Service solutions team that can transform your organization for the better. That being said, we’ve worked with Comcast, Domino’s, Disney. 

{{Add Punch Customer Support Image}}",1
Thanks for the invite and I will definitely make up for the loss at the wedding. Let me know if there is anything else I can do - by the way - where are they,0
"No, I never got your call, but thank you. I hope you are enjoying your time in the new office?",0
"Hi {{Name}}, Happy {{Day}}. I hope you are well and keeping up with all the plans in execution at {{Company_Name}}. I read today about the {{Recent Events in the company}}. How are things unfolding for you and the team at {{Department}}? Do you have any updates for me? I will  mark the dates for the next steps accordingly. ",1
