Your support is greatly appreciated. I will also share the recording and transcript of the call after the end of the session.,1
We have {{name}} on our team who usually works on {{Project}} weekly reports as well as our internal projects to see their growth and analyze different ways to improve further. We can schedule a call to make introductions with him and move forward from there. My team will also draw up a proposal for your reference. What time works for you tomorrow to set up a call?,1
"Hi {{Name}}, We help start-ups and established companies like {{Company}} acquire a unique and compelling brand image that will represent {{Company}} in the market place. In the first week, we take in all the information you have that will guide us in achieving the desired image. That includes: existing mock-ups, user stories, interaction flows, previous design work, and designs, samples, or brands that you like. This is followed by a phone coversation to discuss how you envision your story being told. Then, we will create initial design mock-ups for your review. By discussing these mock-ups, we will have a better idea of the brand image you want. We will repeat the process of design, review, and discussion until we achieve the look and feel that you love. After this, we will use the finalized design as a baseline to tell the rest of the story, in the UIUX, in the design of the products, and in the overall customer-facing, company presence. The end results will be the brand image that {{Company}} will be proud to display and which will communicate the propoer tone not only to the targeted market segment but also to the world at large. Cheers, {{Sender_Name}}",1
"It was great catching up with you and showing you the work we've done! As discussed, her is the link to view design. The latest iteration is under the folder labeled {{Name}}. I've sent the view access to {{Name}} but if you have another mail you want it sent to, let me know! The next steps are going to be building out the course landing pages in the same design and direction as the latest homepage  iteration. We'll be looking forward to those references pages for the certifications, updated copies, and data on the page performance. I hope I haven't forgotten anything! Let me know if you have any questions or comments. We're always available on email and on our Slack for direct communication. ",1
sounds good just let me know,0
you are weird,0
Can you take a look at these numbers and play devil's advocate? To me this looks like the best stock to own.,0
"I can't open up the file, is there anyway you can re-send me the file once again?",0
Please ask him to join the call,0
"We're an E-Commerce UI/UX expert team that specializes in reducing cart abandonment and increasing average order size per customer. Our UI/UX efforts focus on the analysis of cart shopping behavior and A-B test various cart mechanisms to improve overall cart performance.
 
{{Add Twice Image}}",1
Are you sure the meeting is at{{Time}}? I also had another plan for that time,0
That's it. Thanks to proving I am no longer entering my own deals.,0
Do we want to go to any of the rodeo concerts?,0
"{{Name}} is having trouble with logging into the accounts, what's the update on that?",0
"Let me know what you think.
",0
"Hey {{Name}}, Thanks for your interest . Our brief of the B2B Growth Program is as follows: We will pull across 10,000 different sites through manual and automated research against publishing clients to arrive at 50 to 100 Live Leads everyday of the prospects in the market for your services, then our outreach team will contact these prospects with A-B Testing 4 to 5 various pitches, set appointments from your domain, and follow up with your collateral, with the goal of closing setiing 20 appointments by the end of month 2, starting from no existing pipeline. Monthly pricing for 3x researcher, 1x sales person, 1x sales manager - $5k/month. Many thanks {{Sender_Name}}",1
"{{Name}}, please give me a call at {{Number}} and we can set up a time that is good for you to observe.",0
"We are starting to receive hourly trades for our into {{Company}} hourly index.
Is there anything that I can do for you to assist you in sending your
trades?",0
"Hi {{Name}}, The whole idea of your app is really exciting, and our team is super pumped to bring it to reality. We've even had a couple internal meetings about it and have come up with several  inspiring ideas for the kickoff. The project sounds like the perfect opportunity for us to work together, and we'd love to collaborate with {{Company}} to nurture this vision into a finished product. Our in-depth experience has helped us execute nearly a hundered major projects for start-ups and established businesses, invcluding companies like cape,  KonMari Media, SoChat, Airware, The league and many more. Attached you will find a document detailing our services Just wanted you to know we are stoked and ready to get started whenever you are. We are thrilled with the possibilty of moving forward and forging a long lasting, mutually beneficial relationship with you and your team at {{Company}}. Let's get on a call to talk about the next step. Do you have 15 minutes this afternoon? Cheers, {{Sender_Name}}",1
"15 minutes is all we need to show you how this program works. If you are available one morning this week or next, I would be glad to arrange a call. Have a great day. ",1
Please send the latest cost estimates when you get the chance this morning ,0
"Well, we can wait for {{Name}} to get back - when does he get back?",0
Did anyone else hear about this?,0
Did you get the chance to hear back from your team?  We are eager to mark the date for the kickoff call and clear out the current schedule of the resources. Let me know if you are available for a quick min chat anytime after {{Time}} tomorrow. You can share any other slot if that does not work for you. ,1
